filename;rel_filepath;status;n_chunks;first_message;most_recent_message
'test_data_txt_placeholder.txt';'test_data_txt_placeholder.txt';'failed';1;'Thu Jul 18, 2024 at 18:01:52';'Thu Jul 18, 2024 at 18:01:55'
'test_watchdog_folder_test_2_txt_placeholder.txt';'test_watchdog_folder_test_2_txt_placeholder.txt';'failed';1;'Thu Jul 18, 2024 at 18:01:52';'Thu Jul 18, 2024 at 18:01:55'
'test_watchdog_process_folder_test_1_txt_placeholder.txt';'test_watchdog_process_folder_test_1_txt_placeholder.txt';'failed';1;'Thu Jul 18, 2024 at 18:01:52';'Thu Jul 18, 2024 at 18:01:55'
'test_watchdog_process_folder_2_test_2_txt_placeholder.txt';'test_watchdog_process_folder_2_test_2_txt_placeholder.txt';'failed';1;'Thu Jul 18, 2024 at 18:01:52';'Thu Jul 18, 2024 at 18:01:55'
'full_test_2_txt_placeholder.txt';'full_test_2_txt_placeholder.txt';'failed';1;'Thu Jul 18, 2024 at 18:01:52';'Thu Jul 18, 2024 at 18:01:55'
'test_watchdog_folder_test_1_txt_placeholder.txt';'test_watchdog_folder_test_1_txt_placeholder.txt';'failed';1;'Thu Jul 18, 2024 at 18:01:52';'Thu Jul 18, 2024 at 18:01:55'
'test_watchdog_process_folder_test_2_txt_placeholder.txt';'test_watchdog_process_folder_test_2_txt_placeholder.txt';'failed';1;'Thu Jul 18, 2024 at 18:01:53';'Thu Jul 18, 2024 at 18:01:55'
'test_watchdog_process_folder_2_test_1_txt_placeholder.txt';'test_watchdog_process_folder_2_test_1_txt_placeholder.txt';'failed';1;'Thu Jul 18, 2024 at 18:01:53';'Thu Jul 18, 2024 at 18:01:55'
'full_test_txt_placeholder.txt';'full_test_txt_placeholder.txt';'failed';1;'Thu Jul 18, 2024 at 18:01:53';'Thu Jul 18, 2024 at 18:01:55'
'_ipynb_checkpoints_test_data-checkpoint_txt_placeholder.txt';'_ipynb_checkpoints_test_data-checkpoint_txt_placeholder.txt';'failed';1;'Thu Jul 18, 2024 at 18:01:53';'Thu Jul 18, 2024 at 18:01:55'
'test_watchdog_folder__ipynb_checkpoints_test_1-checkpoint_txt_placeholder.txt';'test_watchdog_folder__ipynb_checkpoints_test_1-checkpoint_txt_placeholder.txt';'failed';1;'Thu Jul 18, 2024 at 18:01:53';'Thu Jul 18, 2024 at 18:01:55'
'test_watchdog_process_folder__ipynb_checkpoints_test_2-checkpoint_txt_placeholder.txt';'test_watchdog_process_folder__ipynb_checkpoints_test_2-checkpoint_txt_placeholder.txt';'failed';1;'Thu Jul 18, 2024 at 18:01:53';'Thu Jul 18, 2024 at 18:01:55'
'test_watchdog_txt_placeholder.txt';'test_watchdog_txt_placeholder.txt';'failed';1;'Thu Jul 18, 2024 at 18:01:53';'Thu Jul 18, 2024 at 18:01:54'
'test_watchdog_process_folder_2__ipynb_checkpoints_test_1-checkpoint_txt_placeholder.txt';'test_watchdog_process_folder_2__ipynb_checkpoints_test_1-checkpoint_txt_placeholder.txt';'failed';1;'Thu Jul 18, 2024 at 18:01:53';'Thu Jul 18, 2024 at 18:01:55'
'test_watchdog_folder__ipynb_checkpoints_test_2-checkpoint_txt_placeholder.txt';'test_watchdog_folder__ipynb_checkpoints_test_2-checkpoint_txt_placeholder.txt';'failed';1;'Thu Jul 18, 2024 at 18:01:53';'Thu Jul 18, 2024 at 18:01:54'
'test_watchdog_process_folder__ipynb_checkpoints_test_1-checkpoint_txt_placeholder.txt';'test_watchdog_process_folder__ipynb_checkpoints_test_1-checkpoint_txt_placeholder.txt';'failed';1;'Thu Jul 18, 2024 at 18:01:53';'Thu Jul 18, 2024 at 18:01:54'
'test_watchdog_process_folder_2__ipynb_checkpoints_test_2-checkpoint_txt_placeholder.txt';'test_watchdog_process_folder_2__ipynb_checkpoints_test_2-checkpoint_txt_placeholder.txt';'failed';1;'Thu Jul 18, 2024 at 18:01:53';'Thu Jul 18, 2024 at 18:01:54'
'test_full_txt_placeholder.txt';'test_full_txt_placeholder.txt';'failed';1;'Thu Jul 18, 2024 at 18:01:53';'Thu Jul 18, 2024 at 18:01:54'
'test01_txt_placeholder.txt';'test01_txt_placeholder.txt';'failed';1;'Thu Jul 18, 2024 at 18:01:54';'Thu Jul 18, 2024 at 18:01:54'
'test02_txt_placeholder.txt';'test02_txt_placeholder.txt';'failed';1;'Thu Jul 18, 2024 at 18:01:54';'Thu Jul 18, 2024 at 18:01:54'
'final_test_txt_placeholder.txt';'final_test_txt_placeholder.txt';'failed';1;'Thu Jul 18, 2024 at 18:01:55';'Thu Jul 18, 2024 at 18:01:55'
'final_final_test_txt_placeholder.txt';'final_final_test_txt_placeholder.txt';'failed';1;'Thu Jul 18, 2024 at 18:01:55';'Thu Jul 18, 2024 at 18:01:55'
